ID_Client,Annee_Naissance,Niveau_Education,Statut_Marital,Revenu,Enfants_Maison,Ados_Maison,Date_Inscription,Jours_Dernier_Achat,Achat_Vins,Achat_Fruits,Achat_Viandes,Achat_Poissons,Achat_Produits_Sucres,Achat_Produits_Or,Achats_Promotions,Achats_En_Ligne,Achats_Catalogue,Achats_En_Magasin,Visites_Web_Mois,Reponse_Campagne_3,Reponse_Campagne_4,Reponse_Campagne_5,Reponse_Campagne_1,Reponse_Campagne_2,Plainte,Cout_Contact_Z,Revenus_Z,Reponse_Derniere_Campagne,Statut_Marital_Texte,Total_Depense,Total_Achats,Depense_Moy_Par_Achat,Total_Campagnes_Acceptees,Jour_Inscription,Revenu_Moyen_Mois,Age_Inscription,Categorie_Age,Niveau_Education_Encode,Segmentation_Dépensier,cout par campagne,revenue par campagne
5524,1957,Graduation,single,58138.0,0,0,2012-09-04,58,635,88,546,172,88,88,3,8,10,4,7,0,0,0,0,0,0,3,11,1,Single,1617,22,64.68,0,Tuesday,4844.833333333333,55,Senior (51-65),2,Grand Dépensier,0.5,1.8333333333333333
2174,1954,Graduation,single,46344.0,1,1,2014-03-08,38,11,1,6,2,1,6,2,1,1,2,5,0,0,0,0,0,0,3,11,0,Single,27,4,4.5,0,Saturday,3862.0,60,Senior (51-65),2,Petits Dépensier,0.5,1.8333333333333333
4141,1965,Graduation,couple,71613.0,0,0,2013-08-21,26,426,49,127,111,21,42,1,8,2,10,4,0,0,0,0,0,0,3,11,0,Together,776,20,36.95238095238095,0,Wednesday,5967.75,48,Adulte confirmé (36-50),2,Moyens Dépensier,0.5,1.8333333333333333
6182,1984,Graduation,couple,26646.0,1,0,2014-02-10,26,11,4,20,10,3,5,2,2,0,4,6,0,0,0,0,0,0,3,11,0,Together,53,6,6.625,0,Monday,2220.5,30,Adulte (26-35),2,Petits Dépensier,0.5,1.8333333333333333
5324,1981,PhD,couple,58293.0,1,0,2014-01-19,94,173,43,118,46,27,15,5,5,3,6,5,0,0,0,0,0,0,3,11,0,Married,422,14,22.21052631578948,0,Sunday,4857.75,33,Adulte (26-35),4,Moyens Dépensier,0.5,1.8333333333333333
7446,1967,Master,couple,62513.0,0,1,2013-09-09,16,520,42,98,0,42,14,2,6,4,10,6,0,0,0,0,0,0,3,11,0,Together,716,20,32.54545454545455,0,Monday,5209.416666666667,46,Adulte confirmé (36-50),3,Moyens Dépensier,0.5,1.8333333333333333
965,1971,Graduation,single,55635.0,0,1,2012-11-13,34,235,65,164,50,49,27,4,7,3,7,6,0,0,0,0,0,0,3,11,0,Divorced,590,17,28.09523809523809,0,Tuesday,4636.25,41,Adulte confirmé (36-50),2,Moyens Dépensier,0.5,1.8333333333333333
6177,1985,PhD,couple,33454.0,1,0,2013-05-08,32,76,10,56,3,1,23,2,4,0,4,8,0,0,0,0,0,0,3,11,0,Married,169,8,16.9,0,Wednesday,2787.833333333333,28,Adulte (26-35),4,Moyens Dépensier,0.5,1.8333333333333333
4855,1974,PhD,couple,30351.0,1,0,2013-06-06,19,14,0,24,3,3,2,1,3,0,2,9,0,0,0,0,0,0,3,11,1,Together,46,5,7.666666666666667,0,Thursday,2529.25,39,Adulte confirmé (36-50),4,Petits Dépensier,0.5,1.8333333333333333
5899,1950,PhD,couple,5648.0,1,1,2014-03-13,68,28,0,6,1,1,13,1,1,0,0,20,1,0,0,0,0,0,3,11,0,Together,49,1,24.5,1,Thursday,470.6666666666667,64,Senior (51-65),4,Petits Dépensier,0.5,1.8333333333333333
1994,1983,Graduation,couple,0.0,1,0,2013-11-15,11,5,5,6,0,2,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0,Married,19,3,4.75,0,Friday,0.0,30,Adulte (26-35),2,Petits Dépensier,0.5,1.8333333333333333
387,1976,Basic,couple,7500.0,0,0,2012-11-13,59,6,16,11,11,1,16,1,2,0,3,8,0,0,0,0,0,0,3,11,0,Married,61,5,10.166666666666666,0,Tuesday,625.0,36,Adulte confirmé (36-50),0,Petits Dépensier,0.5,1.8333333333333333
2125,1959,Graduation,single,63033.0,0,0,2013-11-15,82,194,61,480,225,112,30,1,3,4,8,2,0,0,0,0,0,0,3,11,0,Divorced,1102,15,68.875,0,Friday,5252.75,54,Senior (51-65),2,Grand Dépensier,0.5,1.8333333333333333
8180,1952,Master,single,59354.0,1,1,2013-11-15,53,233,2,53,3,5,14,3,6,1,5,6,0,0,0,0,0,0,3,11,0,Divorced,310,12,20.666666666666668,0,Friday,4946.166666666667,61,Senior (51-65),3,Moyens Dépensier,0.5,1.8333333333333333
2569,1987,Graduation,couple,17323.0,0,0,2012-10-10,38,3,14,17,6,1,5,1,1,0,3,8,0,0,0,0,0,0,3,11,0,Married,46,4,9.2,0,Wednesday,1443.5833333333333,25,Jeune (18-25),2,Petits Dépensier,0.5,1.8333333333333333
2114,1946,PhD,single,82800.0,0,0,2012-11-24,23,1006,22,115,59,68,45,1,7,6,12,3,0,0,1,1,0,0,3,11,1,Single,1315,25,50.57692307692308,2,Saturday,6900.0,66,Vétéran (65+),4,Grand Dépensier,0.5,1.8333333333333333
9736,1980,Graduation,couple,41850.0,1,1,2012-12-24,51,53,5,19,2,13,4,3,3,0,3,8,0,0,0,0,0,0,3,11,0,Married,96,6,10.666666666666666,0,Monday,3487.5,32,Adulte (26-35),2,Moyens Dépensier,0.5,1.8333333333333333
4939,1946,Graduation,couple,37760.0,0,0,2012-08-31,20,84,5,38,150,12,28,2,4,1,6,7,0,0,0,0,0,0,3,11,0,Together,317,11,24.384615384615383,0,Friday,3146.6666666666665,66,Vétéran (65+),2,Moyens Dépensier,0.5,1.8333333333333333
6565,1949,Master,couple,76995.0,0,1,2013-03-28,91,1012,80,498,0,16,176,2,11,4,9,5,0,0,0,1,0,0,3,11,0,Married,1782,24,68.53846153846153,1,Thursday,6416.25,64,Senior (51-65),3,Grand Dépensier,0.5,1.8333333333333333
2278,1985,2n Cycle,single,33812.0,1,0,2012-11-03,86,4,17,19,30,24,39,2,2,1,3,6,0,0,0,0,0,0,3,11,0,Single,133,6,16.625,0,Saturday,2817.6666666666665,27,Adulte (26-35),1,Moyens Dépensier,0.5,1.8333333333333333
9360,1982,Graduation,couple,37040.0,0,0,2012-08-08,41,86,2,73,69,38,48,1,4,2,5,8,0,0,0,0,0,0,3,11,0,Married,316,11,26.33333333333333,0,Wednesday,3086.6666666666665,30,Adulte (26-35),2,Moyens Dépensier,0.5,1.8333333333333333
5376,1979,Graduation,couple,2447.0,1,0,2013-01-06,42,1,1,1725,1,1,1,15,0,28,0,1,0,0,0,0,0,0,3,11,0,Married,1730,28,40.23255813953488,0,Sunday,203.91666666666663,34,Adulte (26-35),2,Grand Dépensier,0.5,1.8333333333333333
